release_year,type,age_certification,TitleCount
1945,show,TV-MA,1
1964,movie,G,1
1966,movie,PG-13,1
1967,movie,R,1
1969,show,TV-14,1
1971,movie,R,1
1972,movie,R,1
1972,show,TV-MA,1
1973,movie,R,1
1975,movie,PG,1
1976,movie,R,1
1977,movie,PG,1
1979,movie,R,2
1979,movie,PG,1
1980,movie,R,2
1981,show,TV-Y,1
1981,movie,R,1
1982,movie,R,1
1982,show,TV-PG,1
1982,movie,PG,1
1983,show,TV-G,1
1984,movie,R,1
1984,show,TV-Y,1
1986,movie,R,2
1986,movie,PG,1
1987,movie,R,3
1987,show,TV-Y,1
1988,show,TV-PG,1
1989,movie,R,3
1989,show,TV-PG,2
1989,show,TV-G,1
1990,movie,PG-13,1
1990,movie,PG,1
1991,movie,PG,3
1991,movie,NC-17,1
1991,movie,G,1
1991,show,TV-MA,1
1991,show,TV-G,1
1992,movie,G,1
1992,show,TV-G,1
1992,movie,PG,1
1993,movie,PG-13,4
1993,movie,R,4
1993,movie,PG,3
1993,show,TV-Y7,2
1993,show,TV-G,1
1993,show,TV-PG,1
1994,movie,PG,3
1994,show,TV-Y,1
1994,show,TV-PG,1
1994,show,TV-MA,1
1994,movie,G,1
1994,movie,PG-13,1
1995,movie,R,4
1995,movie,G,2
1995,movie,PG-13,1
1995,show,TV-14,1
1995,show,TV-PG,1
1996,movie,PG-13,3
1996,show,TV-PG,1
1996,movie,G,1
1996,movie,PG,1
1997,movie,R,5
1997,movie,PG-13,4
1997,show,TV-PG,1
1997,movie,G,1
1997,show,TV-Y7,1
1998,movie,PG-13,6
1998,movie,R,5
1998,movie,PG,2
1998,movie,G,2
1998,show,TV-Y,1
1998,show,TV-MA,1
1998,show,TV-14,1
1998,show,TV-Y7,1
1999,movie,R,4
1999,movie,G,1
1999,show,TV-Y7,1
1999,show,TV-PG,1
1999,show,TV-14,1
2000,movie,R,4
2000,movie,PG-13,2
2000,show,TV-PG,2
2000,show,TV-14,2
2000,show,TV-MA,1
2001,movie,R,5
2001,show,TV-14,4
2001,movie,PG-13,4
2001,movie,G,2
2001,movie,PG,2
2001,show,TV-MA,1
2001,show,TV-Y7,1
2002,movie,R,5
2002,movie,PG-13,3
2002,show,TV-14,3
2002,show,TV-PG,2
2002,show,TV-MA,1
2002,show,TV-G,1
2002,movie,G,1
2003,movie,R,9
2003,show,TV-14,5
2003,movie,PG-13,4
2003,movie,PG,2
2003,show,TV-MA,1
2003,show,TV-Y,1
2003,show,TV-Y7,1
2003,show,TV-G,1
2004,movie,R,5
2004,movie,PG,5
2004,movie,PG-13,5
2004,movie,G,4
2004,show,TV-MA,3
2004,show,TV-G,2
2004,show,TV-14,1
2005,movie,PG-13,10
2005,show,TV-14,6
2005,movie,PG,4
2005,movie,R,2
2005,show,TV-Y7,2
2005,movie,G,1
2005,show,TV-PG,1
2005,show,TV-G,1
2006,movie,R,8
2006,movie,PG-13,8
2006,show,TV-14,8
2006,movie,PG,5
2006,show,TV-PG,2
2006,show,TV-MA,1
2006,movie,G,1
2007,movie,PG-13,13
2007,movie,R,9
2007,movie,PG,7
2007,show,TV-G,2
2007,show,TV-PG,2
2007,show,TV-Y7,1
2007,show,TV-14,1
2007,show,TV-MA,1
2008,movie,PG-13,14
2008,movie,R,7
2008,movie,PG,5
2008,show,TV-MA,4
2008,show,TV-14,4
2008,movie,G,2
2008,show,TV-PG,1
2008,show,TV-Y,1
2008,show,TV-Y7,1
2008,movie,NC-17,1
2008,show,TV-G,1
2009,movie,PG-13,12
2009,movie,R,11
2009,show,TV-14,9
2009,movie,PG,6
2009,show,TV-MA,3
2009,show,TV-G,3
2009,show,TV-PG,2
2009,show,TV-Y,2
2009,movie,G,2
2010,movie,PG,11
2010,movie,PG-13,10
2010,movie,R,9
2010,movie,G,6
2010,show,TV-MA,5
2010,show,TV-14,5
2010,show,TV-Y,3
2010,show,TV-PG,2
2010,show,TV-Y7,2
2010,show,TV-G,1
2011,movie,PG-13,21
