id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,description
ts265844,#ABtalks,show,2018,TV-PG,68,[],[],1.0,tt12635254,9.6,7.0,,,"#ABtalks is a YouTube interview show hosted by Anas Bukhash, showcasing the 'raw' side of celebrities, athletes, entrepreneurs, and influencers as human beings."
tm820190,#Alive,movie,2020,,98,"['thriller', 'horror', 'action', 'drama']",['kr'],,tt10620868,6.3,37199.0,61.465,7.3,"As a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out."
tm817087,#AnneFrank. Parallel Stories,movie,2019,,92,"['drama', 'documentation', 'history']",['it'],,tt9850370,6.5,1503.0,17.846,6.9,"One single Anne Frank moves us more than the countless others who suffered just as she did but whose faces have remained in the shadows-Primo Levi. The Oscar®-winning Helen Mirren will introduce audiences to Anne Frank's story through the words in her diary. The set will be her room in the secret refuge in Amsterdam, reconstructed in every detail by set designers from the Piccolo Theatre in Milan. Anne Frank this year would have been 90 years old. Anne's story is intertwined with that of five Holocaust survivors, teenage girls just like her, with the same ideals, the same desire to live: Arianna Szörenyi, Sarah Lichtsztejn-Montard, Helga Weiss and sisters Andra and Tatiana Bucci. Their testimonies alternate with those of their children and grandchildren."
tm257629,#FollowFriday,movie,2016,,90,['thriller'],['us'],,tt5233106,2.7,382.0,3.26,3.6,Students and Faculty on a college campus are targeted by a killer using social media.
tm371188,#FriendButMarried,movie,2018,,102,"['romance', 'comedy', 'drama']",['id'],,tt8076266,6.9,695.0,1.96,6.8,"Pining for his high school crush for years, a young man puts up his best efforts to move out of the friend zone until she reveals she's getting married."
tm846354,#FriendButMarried 2,movie,2020,,104,"['drama', 'comedy', 'romance']",['id'],,tt11640412,6.9,300.0,1.298,7.5,"As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage."
tm286268,#Rucker50,movie,2016,,56,['documentation'],['us'],,tt6475636,5.2,117.0,2.578,3.7,"The celebratory explosion of basketball history makers, legend shakers and lawbreakers; juxtaposed against important events in Civil & Human Rights. The 50 years of The Rucker's ripples reverberate throughout Basketball, Hip-Hop, Harlem, and life."
ts236033,#blackAF,show,2020,TV-MA,35,['comedy'],['us'],1.0,,,,4.274,7.1,A father takes an irreverent and honest approach to parenting and relationships.
tm320206,#realityhigh,movie,2017,,99,"['comedy', 'drama', 'romance']",['us'],,tt6119504,5.2,6283.0,17.721,6.4,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity."
tm252609,'76,movie,2016,PG-13,118,"['romance', 'drama']",['ng'],,tt2385126,5.6,220.0,1.73,7.2,"Nollywood superstars Ramsey Nouah, Rita Dominic, and Chidi Mokeme headline this gripping drama set against the backdrop of the attempted 1976 military coup against the government of General Murtala Mohammed."
