country,average_imdb_rating,average_tmdb_rating,overall_average_rating
pr,6.6,6.699999999999999,6.6499999999999995
us,6.54533520862636,6.815745245466612,6.680540227046486
eg,6.7628571428571425,6.626086956521739,6.694472049689441
ps,7.071428571428571,6.482352941176471,6.776890756302521
ge,7.4,6.85,7.125
cl,6.035294117647057,6.566666666666667,6.300980392156863
il,7.006666666666665,6.866666666666666,6.936666666666666
ro,5.616666666666667,6.3,5.958333333333334
jp,6.9942528735632195,7.305338078291812,7.149795475927515
kw,6.166666666666667,7.24,6.703333333333333
ao,3.9,5.6,4.75
by,6.6,,
vn,5.25,5.933333333333334,5.591666666666667
pl,5.828947368421052,6.309523809523807,6.069235588972429
cn,6.810526315789474,7.355339805825244,7.082933060807359
za,5.883783783783784,6.847058823529412,6.365421303656598
sk,5.8,6.0,5.9
io,6.7,7.15,6.925000000000001
bd,6.833333333333333,6.566666666666666,6.699999999999999
mu,5.5,7.0,6.25
ir,6.75,6.6,6.675
pt,6.7,7.159999999999999,6.93
gl,6.3,6.2,6.25
ke,6.15,10.0,8.075
kh,6.5,6.733333333333333,6.616666666666667
in,6.399494097807753,6.3956448911222825,6.397569494465017
au,6.753846153846155,7.075000000000002,6.914423076923079
pk,7.0,8.0,7.5
sg,6.431818181818182,6.26875,6.35028409090909
ae,5.721052631578947,5.806666666666667,5.763859649122807
iq,5.55,5.9,5.725
hk,6.042105263157893,6.222499999999999,6.132302631578947
qa,6.81,6.709090909090909,6.759545454545455
be,6.602222222222224,6.729166666666667,6.665694444444446
tw,6.770370370370371,6.910344827586208,6.840357598978289
gb,6.794919786096258,6.882741116751273,6.838830451423766
np,7.5,8.1,7.8
cd,7.85,7.75,7.8
sa,5.79090909090909,6.858333333333333,6.324621212121212
co,6.295,6.830232558139536,6.562616279069768
tr,6.325974025974024,6.265822784810127,6.295898405392076
is,6.889999999999999,6.927272727272728,6.908636363636363
de,6.425581395348835,6.595620437956206,6.51060091665252
lu,6.585714285714286,7.042857142857143,6.814285714285715
br,6.201063829787234,7.109473684210527,6.655268756998881
jo,6.266666666666667,6.6000000000000005,6.433333333333334
gt,6.6,7.0,6.8
es,6.398499999999998,6.646634615384614,6.522567307692306
hr,7.4,7.6,7.5
zw,6.1,6.1,6.1
rs,6.75,6.95,6.85
kr,7.209677419354846,7.7115942028985485,7.460635811126697
it,6.2328947368421055,6.735000000000001,6.483947368421053
uy,6.728571428571429,6.728571428571429,6.728571428571429
af,7.7,7.5,7.6
pe,6.2299999999999995,6.283333333333334,6.256666666666667
py,5.9,6.9,6.4
ar,6.47121212121212,6.813043478260871,6.642127799736496
su,6.050000000000001,5.9,5.9750000000000005
ph,6.36375,6.375308641975307,6.369529320987653
va,6.4,7.3,6.85
nl,6.317647058823528,6.591666666666666,6.454656862745097
hu,6.933333333333334,7.028571428571428,6.980952380952381
ca,6.336125654450258,6.728985507246376,6.532555580848317
al,6.2,6.4,6.300000000000001
ve,7.3,7.9,7.6
xx,6.082608695652173,6.249999999999999,6.166304347826086
my,6.178571428571429,6.292857142857143,6.235714285714286
tn,6.5,6.4,6.45
nz,6.541666666666667,6.75,6.645833333333334
gr,6.800000000000001,6.333333333333333,6.566666666666666
ru,6.739999999999999,7.086666666666667,6.913333333333333
lk,,6.0,
cm,5.2,4.55,4.875
th,6.303125,7.26111111111111,6.782118055555555
ch,6.566666666666666,6.476923076923077,6.521794871794872
ng,5.727419354838707,5.836956521739132,5.782187938288919
gh,6.25,5.633333333333333,5.941666666666666
ma,6.279999999999999,6.18,6.2299999999999995
lt,5.9,6.4,6.15
kg,7.4,,
sn,6.6,6.85,6.725
no,6.799999999999999,6.7476190476190485,6.773809523809524
bg,5.633333333333333,5.9625,5.797916666666667
sy,5.75,7.133333333333333,6.441666666666666
cu,8.3,7.7,8.0
cy,2.9,5.0,3.95
at,6.236363636363635,6.415384615384616,6.325874125874126
dz,7.2,5.4,6.300000000000001
cz,6.5,6.6875,6.59375
fo,4.9,6.7,5.800000000000001
ua,7.125,6.925,7.025
mx,6.349107142857143,6.904918032786888,6.627012587822016
bs,8.0,7.5,7.75
bf,7.0,6.5,6.75
tz,6.766666666666666,9.0,7.883333333333333
fr,6.44206008583691,6.612448132780081,6.527254109308496
se,6.396666666666669,6.756666666666669,6.576666666666669
ie,6.923529411764707,6.827777777777778,6.875653594771243
dk,7.066666666666667,7.007999999999999,7.037333333333333
id,6.328846153846154,6.705769230769231,6.517307692307693
fi,6.2714285714285705,6.528571428571427,6.399999999999999
lb,6.773333333333332,6.366666666666667,6.569999999999999
na,,,
mw,7.6,7.9,7.75
