imdb_votes,tmdb_popularity
37199,61.465
1503,17.846
382,3.26
695,1.96
300,1.298
117,2.578
6283,17.721
220,1.73
1041,3.147
1003,4.912
1938,14.871
3958,4.073
6167,9.529
1483,44.986
796,43.999
5530,2.923
282373,100.866
322,7.62
767,4.471
34914,10.311
22858,23.898
273,1.911
3739,11.36
3281,9.711
60982,17.567
4173,8.68
514,2.227
11983,15.734
2482,6.269
3365,15.428
25344,6.973
33,0.72
1681,2.902
247039,40.786
64117,26.217
33246,19.825
1178,4.501
466,2.141
25,3.956
385782,49.398
9208,9.773
25077,37.982
121514,34.689
676,1.65
80198,112.545
10739,1823.374
2647,8.463
5927,17.34
3189,7.59
99,1.336
215,56.498
93314,13.936
283,7.168
497,2.761
1103,9.516
48,1.336
29,1.261
767,6.368
5516,9.07
4087,10.88
14898,25.607
168919,47.628
12441,8.384
2616,11.052
531,2.621
5919,5.396
6444,185.834
258,2.839
4872,6.426
433,3.205
517,11.615
559,12.934
344,2.022
644,9.125
1378,31.425
459,3.827
23781,5.625
571,3.675
2254,3.004
228,4.76
4067,66.921
49478,17.717
927,11.477
20838,102.201
314,1.684
9721,9.156
2231,20.068
11727,17.704
395,5.224
874,1.645
357,4.007
19456,11.202
6704,13.992
10658,8.776
86395,31.774
1626,21.305
533,10.552
15029,12.851
2158,5.673
216,4.092
133,1.509
6093,12.746
15750,12.272
48,13.391
52,2.457
21514,86.877
294,4.262
137,1.808
536,3.716
4535,52.042
1289,5.628
1854,7.754
312,2.821
233,3.593
366,27.399
1386,42.322
142,2.253
11,1.674
86614,25.422
336,40.559
1111,7.913
99192,46.304
1394,6.519
16,3.298
4308,14.915
557,31.879
19,1.264
8222,24.928
148,2.23
1159,5.253
59086,16.558
47,3.425
375,7.231
4334,11.128
59239,33.836
13267,14.16
75132,131.725
694,3.782
380,1.509
156,5.004
159,3.867
1193,15.774
145,1.941
93,7.487
314,7.483
212,22.042
248,3.255
9816,8.054
1622,5.089
69241,16.887
15428,6.405
3461,9.908
388,3.295
120389,73.108
4465,29.594
9353,116.8
376,4.878
376,2.013
336,9.253
11785,38.144
1189,8.277
6898,3.278
6258,5.018
529,163.598
7961,15.178
14048,6.136
410,4.42
38463,17.371
406,1.87
92,1.15
11241,4.538
922,1.444
320,1.082
95,0.702
163,7.629
18165,10.083
433,1.4
5306,14.406
1459,19.898
2131,15.513
3284,6.595
1100,6.473
361,4.318
66,3.669
11971,26.746
1625,6.118
131,7.998
946,2.244
5096,10.176
173,5.696
209,2.203
144,1.76
65,1.178
330,2.401
54750,25.491
5378,7.157
496,7.408
3808,23.374
382,1.217
1119,10.365
194,2.765
63,2.091
8,0.6
52180,152.738
124972,18.619
29571,163.519
12339,267.501
8223,40.022
15125,63.255
18057,190.822
11,0.6
49,3.856
4022,36.228
852,3.331
6005,11.023
8902,4.372
121,1.156
674,2.075
321,1.557
1349,9.607
271,1.992
231,2.718
2567,16.875
4671,6.455
1871,2.265
14380,5.874
5620,8.167
6121,27.887
1201,25.835
5708,76.499
14839,7.608
68,1.403
386,2.535
1968,1.4
69,1.132
371,12.17
157,2.072
139,1.505
17305,13.149
4687,42.726
643,3.021
1689,1.736
101,0.946
33,0.606
1185,5.462
19834,4.029
6925,6.777
1828,5.408
4874,6.463
4959,5.827
31577,15.686
555,2.554
532,3.049
47651,70.971
293,12.66
3460,18.522
3509,17.867
566,2.513
708,1.987
9704,65.499
217,5.748
3627,8.057
1416,1.804
2840,301.572
2008,41.022
559,6.454
1564,7.403
6126,11.666
4182,7.74
41393,678.734
28355,56.467
1269,11.958
523,2.598
334,4.81
2323,2.433
870,8.845
1087,4.522
4622,31.271
451,2.618
1432,229.844
14272,16.15
55,1.349
162018,59.428
6030,101.184
372,4.031
2406,17.337
23969,11.45
356,3.077
4397,5.262
4303,11.572
797,3.17
1281,11.337
17843,12.812
6165,62.164
21415,13.07
1032,3.435
26355,20.519
6904,9.419
89912,15.041
29972,20.845
289,167.727
250,2.099
225,2.047
3812,5.715
9753,7.927
307,3.404
4911,17.807
1113,2.547
504,2.184
5457,6.295
1594,7.251
139,5.818
2827,40.403
604,5.923
260,2.385
