genre,average_imdb_rating,average_tmdb_rating,overall_average_rating
scifi,6.5836363636363675,7.160714285714291,6.872175324675329
documentation,7.042326732673284,7.039883720930229,7.041105226801756
crime,6.677855477855477,6.797549591598602,6.737702535
fantasy,6.591980360065475,7.118137254901961,6.855058807483718
action,6.457962413452029,6.833200399,6.645581406127814
animation,6.7291530944625375,7.313278688524591,7.021215891493564
sport,6.723780487804877,7.0049382716049395,6.864359379704908
family,6.3440734557595935,7.204347826086952,6.774210640923273
horror,6.007887324,6.447123287671222,6.2275053058074405
history,7.149785407725316,7.192139738,7.1709625728582935
music,6.632727272727273,7.108144796380091,6.870436034553682
drama,6.655523149835952,6.870772594752181,6.763147872294066
western,6.545000000000002,6.795238095238093,6.670119047619048
war,7.078321678321676,7.081506849315067,7.079914263818372
european,6.535779816513763,6.584187082405344,6.559983449459553
romance,6.4318716577540105,6.768181818181824,6.600026737967918
thriller,6.360519247985678,6.575066312997364,6.467792780491521
reality,6.408333333333337,7.237254901960783,6.822794118
comedy,6.422684752104778,6.738071065989844,6.580377909047311
