release_year,Country,TotalTitles
1945,us,1
1953,eg,1
1954,us,1
1954,eg,1
1956,eg,1
1958,eg,1
1959,in,1
1960,in,1
1961,us,1
1961,gb,1
1962,in,1
1963,eg,1
1964,us,1
1966,us,1
1966,in,1
1967,us,1
1968,us,1
1969,in,1
1969,gb,1
1971,us,1
1971,in,1
1972,"",1
1972,us,1
1973,in,1
1973,eg,1
1973,us,1
1974,in,1
1975,lb,1
1975,gb,1
1976,eg,2
1976,dz,1
1976,us,1
1976,in,1
1977,de,1
1978,in,1
1979,eg,2
1979,ca,1
1979,us,1
1979,su,1
1979,in,1
1979,jp,1
1979,lb,1
1979,gb,1
1979,fr,1
1980,us,2
1980,eg,1
1980,fr,1
1980,lb,1
1980,in,1
1980,ca,1
1981,jp,1
1981,us,1
1981,gb,1
1981,eg,1
1982,us,2
1982,jp,1
1982,gb,1
1982,in,1
1982,lb,1
1982,fr,1
1982,kw,1
1982,eg,1
1983,us,1
1983,in,1
1984,in,2
1984,it,1
1984,gb,1
1984,us,1
1985,ar,1
1985,eg,1
1986,us,4
1986,in,2
1987,us,4
1987,gb,2
1987,in,1
1988,us,5
1988,in,1
1988,jp,1
1989,us,7
1989,fr,1
1989,eg,1
1989,in,1
1989,gb,1
1990,us,5
1990,in,2
1990,hk,1
1991,us,9
1991,in,2
1991,fr,1
1991,su,1
1991,be,1
1991,it,1
1991,co,1
1991,hk,1
1991,jp,1
1991,lb,1
1992,us,2
1992,gb,1
1992,in,1
1993,us,13
1993,in,5
1993,gb,3
1993,fr,2
1993,es,1
1993,de,1
1993,it,1
1993,gh,1
1993,bf,1
1993,hk,1
1993,ar,1
1994,us,6
1994,in,4
1994,eg,1
1994,fr,1
1994,ca,1
1994,gb,1
1994,au,1
1994,jp,1
1995,us,6
1995,in,5
1995,ca,2
1995,jp,2
1996,us,5
1996,in,3
1996,fr,1
1996,ps,1
1996,de,1
1997,us,11
1997,jp,2
1997,hk,1
1997,de,1
1997,br,1
1997,fr,1
1997,eg,1
1997,pe,1
1997,in,1
1997,ca,1
1998,us,13
1998,in,6
1998,fr,3
1998,gb,2
1998,jp,2
1998,lb,1
1998,ie,1
1998,"",1
1998,de,1
1998,be,1
1998,no,1
1999,us,4
1999,in,3
1999,fr,2
1999,de,2
1999,lb,1
1999,mx,1
1999,jp,1
1999,eg,1
1999,tr,1
2000,us,8
2000,in,2
2000,de,2
2000,ar,1
2000,gb,1
2000,jp,1
2001,us,14
2001,in,4
2001,ca,3
2001,de,1
2001,ps,1
2001,jp,1
2001,co,1
2001,be,1
2001,fr,1
2001,tr,1
2002,us,9
2002,in,3
2002,jp,3
2002,gb,2
2002,"",2
2002,ps,1
2002,fr,1
2002,au,1
2002,ma,1
2002,co,1
2002,de,1
2003,us,18
2003,in,6
2003,jp,3
2003,gb,2
2003,fr,2
2003,ps,1
2003,de,1
2003,lb,1
2003,tw,1
2003,nz,1
2003,my,1
2003,ng,1
2003,za,1
2003,it,1
2004,us,13
2004,in,9
2004,ca,3
2004,ar,2
2004,jp,2
2004,fr,2
2004,"",2
2004,it,1
2004,tr,1
2004,xx,1
2004,kr,1
2004,de,1
2004,es,1
2004,gb,1
2004,eg,1
2004,uy,1
2005,us,22
2005,in,7
2005,gb,5
2005,jp,4
2005,de,3
2005,au,2
2005,ca,2
2005,cz,1
2005,fr,1
2005,hk,1
2005,es,1
2005,tw,1
2005,lebanon,1
2005,"",1
2005,se,1
2005,nl,1
2005,dk,1
2006,us,23
2006,in,8
2006,ca,4
2006,jp,4
2006,gb,4
2006,de,3
2006,eg,2
2006,ar,2
2006,tw,2
2006,au,2
2006,my,1
2006,cz,1
2006,th,1
2006,lb,1
2006,fr,1
2006,es,1
2006,sa,1
2006,cl,1
2006,bs,1
2007,us,23
2007,in,13
2007,gb,6
2007,jp,5
2007,ca,4
2007,fr,3
2007,de,3
2007,hk,2
2007,co,1
2007,ph,1
2007,mx,1
2007,bg,1
2007,is,1
2007,dk,1
2007,lb,1
2007,eg,1
2007,at,1
2007,es,1
2007,ng,1
2008,us,19
2008,in,17
2008,gb,7
2008,jp,6
2008,cn,3
2008,fr,3
2008,"",3
2008,hk,3
2008,eg,2
2008,de,2
2008,sg,2
2008,ph,1
2008,cl,1
2008,tw,1
2008,ch,1
2008,ca,1
2008,ps,1
2008,co,1
2008,be,1
2008,es,1
2009,us,24
2009,in,17
2009,gb,6
2009,ca,3
2009,jp,3
2009,de,3
2009,fr,3
2009,hk,2
2009,sg,2
2009,tw,2
2009,kr,2
2009,ng,1
2009,my,1
2009,kw,1
2009,cn,1
2009,ru,1
2009,ps,1
2009,au,1
2009,it,1
2009,co,1
2010,us,28
2010,in,19
2010,gb,5
2010,jp,5
2010,hk,3
2010,sg,3
2010,fr,3
2010,ca,3
2010,au,2
2010,kr,2
2010,dk,1
2010,es,1
2010,ng,1
2010,co,1
2010,tr,1
2010,"",1
2010,cn,1
2010,mx,1
2010,eg,1
2010,tw,1
2010,ph,1
2011,us,44
2011,in,21
2011,jp,9
2011,gb,8
2011,ca,6
2011,kr,3
2011,cn,3
2011,de,3
2011,hk,3
2011,tw,3
2011,lb,2
2011,ae,2
2011,sg,2
2011,"",2
2011,hu,2
2011,tr,1
2011,ps,1
2011,es,1
2011,za,1
2011,no,1
2011,fr,1
2011,nl,1
2011,id,1
2011,sa,1
2011,ph,1
2011,mx,1
2011,ng,1
2011,eg,1
2011,it,1
2011,se,1
2012,us,45
2012,in,25
2012,jp,10
2012,gb,9
2012,ph,4
2012,xx,2
2012,ca,2
2012,dk,2
2012,ng,2
2012,au,2
2012,za,2
2012,sg,1
2012,"",1
2012,no,1
2012,co,1
2012,ae,1
2012,lb,1
2012,ps,1
2012,hk,1
2012,kr,1
2012,ru,1
2012,cl,1
2012,tw,1
2012,sa,1
2012,fr,1
2013,us,62
2013,in,26
2013,jp,8
2013,gb,8
2013,ca,6
2013,ph,5
2013,"",4
2013,br,4
2013,ng,4
2013,es,3
2013,tr,3
2013,au,3
2013,xx,3
2013,hk,3
2013,kr,2
2013,ps,2
2013,lb,2
2013,ch,1
2013,cl,1
2013,cn,1
2013,fr,1
2013,tw,1
2013,ar,1
2013,de,1
2013,il,1
2013,fi,1
2013,at,1
2013,eg,1
2013,ae,1
2014,us,72
2014,in,29
2014,gb,11
2014,ca,9
2014,jp,6
2014,tr,5
2014,ph,5
2014,sg,4
2014,de,4
2014,fr,4
