country_1,country_2,shared_titles_count
gb,us,129
ca,us,83
de,us,36
fr,us,35
be,fr,24
cn,us,23
ca,gb,21
de,gb,20
de,fr,18
jp,us,18
fr,gb,17
au,us,16
mx,us,16
es,us,15
es,fr,14
ca,fr,13
cn,hk,12
ar,es,12
fr,it,11
fr,lb,10
fr,ps,8
au,gb,8
nl,us,8
in,us,8
it,us,8
ca,cn,8
dk,gb,7
gb,nl,7
fr,qa,7
dk,us,7
cn,gb,7
bg,us,7
es,mx,6
de,ps,6
il,us,6
gb,ie,6
be,us,6
us,za,6
hk,us,6
fr,jp,6
at,de,5
th,us,5
fr,lu,5
ae,lb,5
br,us,5
gb,it,5
de,dk,5
de,es,5
ca,de,5
be,gb,5
be,es,5
sg,us,5
gb,in,5
ch,fr,4
ca,hu,4
be,de,4
ch,de,4
gb,za,4
ie,us,4
de,it,4
be,nl,4
cz,gb,4
ae,us,4
eg,fr,4
se,us,4
hu,us,4
ng,us,4
ca,ie,4
br,fr,4
kr,us,4
ca,jp,4
at,us,4
es,gb,4
gb,se,4
lb,ps,4
dk,se,4
gb,jp,4
ar,uy,3
fr,nl,3
gb,il,3
gb,is,3
ca,za,3
no,se,3
ar,cl,3
ch,it,3
ps,qa,3
dk,fr,3
ar,de,3
ps,us,3
fr,se,3
ch,us,3
es,it,3
is,us,3
cz,us,3
cn,tw,3
ar,fr,3
ar,us,3
es,uy,3
be,it,3
ua,us,3
lb,qa,3
bg,gb,3
fr,ma,3
dk,nl,3
pl,us,3
fr,in,3
gb,gr,3
ca,lb,3
lb,us,3
cl,us,2
be,lb,2
au,de,2
br,mx,2
br,de,2
gb,nz,2
ca,cl,2
ca,se,2
jo,qa,2
be,lu,2
ar,mx,2
ie,za,2
lu,us,2
ae,ps,2
gb,ua,2
pe,us,2
ch,ps,2
co,mx,2
gb,lb,2
ru,us,2
in,sg,2
cn,de,2
ar,br,2
de,nl,2
nl,se,2
fr,mx,2
no,us,2
cl,fr,2
gb,sg,2
nl,ps,2
at,gb,2
dk,lb,2
fr,ie,2
id,sg,2
my,sg,2
ch,gb,2
gb,ng,2
is,no,2
gh,us,2
ma,us,2
cn,es,2
lb,nl,2
br,dk,2
de,za,2
in,su,2
be,se,2
de,no,2
ca,ng,2
gb,hu,2
cn,sg,2
tw,us,2
ch,qa,2
cn,jp,2
cz,de,2
cn,fr,2
ca,es,2
eg,us,2
ar,it,2
fr,sg,2
de,in,2
de,se,2
hu,it,1
de,jo,1
hk,jp,1
ae,qa,1
ca,kr,1
ae,sy,1
ae,il,1
it,pl,1
gb,jo,1
ae,gb,1
be,tn,1
at,in,1
gb,sy,1
ir,jo,1
ae,jo,1
gb,ma,1
it,va,1
be,is,1
gr,us,1
dk,is,1
kr,pl,1
de,pe,1
is,za,1
ch,nl,1
fr,va,1
cz,nl,1
de,ie,1
ae,fr,1
gb,mw,1
at,fr,1
dk,pt,1
il,no,1
in,np,1
br,pt,1
cz,fr,1
fr,pl,1
bs,cz,1
it,pe,1
gb,no,1
in,qa,1
sg,ua,1
dk,no,1
be,ps,1
be,no,1
fr,il,1
gb,pe,1
al,us,1
bs,us,1
gb,qa,1
pt,us,1
bs,de,1
dk,gr,1
ro,se,1
br,qa,1
de,gh,1
at,ng,1
nl,pl,1
de,sg,1
fr,tw,1
al,jo,1
at,iq,1
es,pt,1
my,tw,1
bg,il,1
gb,lt,1
no,pe,1
pl,ua,1
dk,eg,1
cd,gb,1
sa,sy,1
be,sn,1
il,pe,1
cn,pr,1
lb,sy,1
be,kh,1
ae,is,1
gt,uy,1
cz,dk,1
fr,kw,1
cz,sk,1
ae,no,1
id,my,1
au,gr,1
ar,ve,1
eg,gb,1
de,nz,1
rs,ru,1
br,pe,1
fr,tn,1
ch,hu,1
ir,us,1
bd,in,1
pl,ru,1
co,es,1
dk,es,1
ar,dk,1
tr,us,1
fr,pt,1
it,ps,1
es,pe,1
de,va,1
af,de,1
il,ma,1
ar,co,1
eg,sa,1
mx,nl,1
br,es,1
ca,id,1
au,fr,1
de,ge,1
ch,es,1
cl,mx,1
nl,ua,1
au,cn,1
pt,se,1
hk,is,1
dk,pl,1
ae,za,1
jo,ps,1
al,th,1
ca,fi,1
il,it,1
ma,qa,1
fr,ge,1
fr,gl,1
nl,sg,1
ar,rs,1
jp,nz,1
bf,de,1
ar,pl,1
ar,ch,1
cy,us,1
de,qa,1
br,it,1
fr,ng,1
ch,pl,1
mw,us,1
nz,us,1
ao,za,1
bg,ma,1
bf,gb,1
ca,lk,1
jo,nl,1
qa,sy,1
gb,mx,1
pl,rs,1
ca,nz,1
fr,kr,1
hu,mx,1
gb,gh,1
ca,nl,1
fo,ph,1
lb,no,1
ae,sa,1
al,it,1
br,pl,1
ph,sg,1
is,se,1
bs,gb,1
hu,nl,1
de,fi,1
fi,se,1
es,ps,1
cn,id,1
de,mx,1
dk,ps,1
cn,th,1
il,za,1
ar,ca,1
kw,ps,1
cu,us,1
ie,no,1
ng,no,1
be,qa,1
au,nz,1
fr,sn,1
jo,us,1
mx,za,1
gb,pl,1
cl,nl,1
cn,in,1
br,se,1
de,il,1
de,pl,1
ar,pe,1
gb,pr,1
iq,us,1
fr,sy,1
br,ch,1
qa,us,1
hk,nz,1
gb,tz,1
ca,in,1
be,br,1
bf,us,1
jo,lb,1
af,ps,1
de,ng,1
gb,lu,1
no,za,1
mx,uy,1
de,ua,1
in,mx,1
de,uy,1
ie,il,1
ca,dk,1
gr,nz,1
il,is,1
gb,iq,1
fr,ru,1
jp,kr,1
in,th,1
ca,no,1
jp,th,1
de,eg,1
br,ca,1
rs,uy,1
be,lt,1
kh,lu,1
nl,no,1
fi,mx,1
fr,ir,1
bf,gh,1
qa,tn,1
ir,qa,1
au,ch,1
id,us,1
al,ch,1
ro,us,1
be,ch,1
es,hu,1
jo,th,1
fi,no,1
fr,jo,1
cz,se,1
co,fr,1
au,ca,1
ca,mx,1
fr,lt,1
lt,nl,1
pr,us,1
ar,qa,1
hk,ph,1
kh,us,1
mx,qa,1
cl,pe,1
de,kw,1
fr,no,1
ma,ps,1
ca,gr,1
cn,ua,1
jp,ph,1
ca,lu,1
de,ma,1
dz,eg,1
ch,mx,1
fi,fr,1
it,lb,1
fr,kh,1
ph,us,1
ae,nl,1
al,pl,1
ie,is,1
ae,ie,1
ch,va,1
ca,sg,1
gb,id,1
be,dk,1
gb,ir,1
