Country,Genre,TotalCount,Rank
ae,drama,13,1
ae,thriller,8,2
ae,comedy,6,3
af,drama,2,1
al,drama,2,1
al,documentation,1,2
al,romance,1,3
ao,crime,1,1
ao,drama,1,2
ao,action,1,3
ar,drama,41,1
ar,comedy,25,2
ar,crime,17,3
at,european,9,1
at,drama,9,2
at,thriller,3,3
au,drama,37,1
au,comedy,28,2
au,family,26,3
bd,drama,3,1
be,drama,34,1
be,european,23,2
be,thriller,18,3
bf,drama,1,1
bf,european,1,2
bg,drama,7,1
bg,thriller,6,2
bg,european,5,3
br,comedy,39,1
br,drama,38,2
br,documentation,29,3
bs,thriller,1,1
bs,action,1,2
bs,european,1,3
by,family,1,1
by,animation,1,2
ca,drama,90,1
ca,comedy,89,2
ca,family,58,3
cd,documentation,2,1
cd,war,2,2
cd,thriller,1,3
ch,european,7,1
ch,drama,7,2
ch,documentation,3,3
cl,drama,12,1
cl,comedy,7,2
cl,thriller,5,3
cm,drama,1,1
cm,romance,1,2
cm,comedy,1,3
cn,drama,61,1
cn,action,38,2
cn,romance,35,3
co,drama,25,1
co,comedy,19,2
co,crime,12,3
cu,documentation,1,1
cy,action,1,1
cy,comedy,1,2
cy,scifi,1,3
cz,european,6,1
cz,drama,5,2
cz,history,3,3
de,drama,76,1
de,european,57,2
de,thriller,49,3
dk,drama,18,1
dk,european,15,2
dk,documentation,7,3
dz,crime,1,1
dz,drama,1,2
eg,drama,29,1
eg,comedy,22,2
eg,romance,13,3
es,drama,119,1
es,european,104,2
es,thriller,81,3
fi,drama,6,1
fi,european,3,2
fi,crime,3,3
fo,drama,1,1
fr,drama,141,1
fr,european,117,2
fr,comedy,76,3
gb,drama,169,1
gb,comedy,124,2
gb,thriller,104,3
ge,documentation,1,1
ge,drama,1,2
gh,drama,2,1
gh,comedy,2,2
gh,war,1,3
gl,european,1,1
gl,drama,1,2
gl,comedy,1,3
gr,drama,3,1
gr,western,1,2
gr,romance,1,3
gt,documentation,1,1
hk,action,22,1
hk,drama,22,2
hk,comedy,21,3
hr,crime,1,1
hr,action,1,2
hr,drama,1,3
hu,drama,5,1
hu,thriller,3,2
hu,romance,2,3
id,drama,45,1
id,romance,24,2
id,comedy,19,3
ie,drama,11,1
ie,european,9,2
ie,comedy,8,3
il,drama,11,1
il,action,6,2
il,thriller,5,3
in,drama,476,1
in,comedy,265,2
in,romance,198,3
io,reality,2,1
io,drama,1,2
io,romance,1,3
iq,european,1,1
iq,drama,1,2
iq,war,1,3
ir,drama,2,1
ir,thriller,1,2
ir,fantasy,1,3
is,drama,7,1
is,thriller,5,2
is,crime,4,3
it,drama,44,1
it,european,27,2
it,comedy,27,3
jo,drama,6,1
jo,thriller,2,2
jo,fantasy,2,3
jp,animation,181,1
jp,drama,166,2
jp,action,157,3
ke,comedy,2,1
ke,scifi,1,2
ke,family,1,3
kg,drama,1,1
kg,documentation,1,2
kh,history,2,1
kh,drama,2,2
kh,war,2,3
kr,drama,148,1
kr,comedy,82,2
kr,romance,68,3
kw,drama,6,1
kw,comedy,3,2
kw,action,2,3
lb,drama,25,1
lb,comedy,7,2
lb,documentation,7,3
lebanon,war,1,1
lk,drama,1,1
lt,drama,1,1
lt,scifi,1,2
lt,european,1,3
lu,drama,6,1
lu,animation,4,2
lu,thriller,3,3
ma,drama,4,1
ma,comedy,3,2
ma,war,2,3
mu,animation,1,1
mu,family,1,2
mu,fantasy,1,3
mw,drama,1,1
mw,history,1,2
mx,drama,60,1
mx,comedy,52,2
mx,documentation,23,3
my,drama,12,1
my,comedy,5,2
my,horror,4,3
na,drama,1,1
na,fantasy,1,2
ng,drama,48,1
ng,comedy,29,2
ng,romance,16,3
nl,drama,20,1
nl,european,15,2
nl,comedy,10,3
no,drama,18,1
no,thriller,9,2
no,comedy,9,3
np,drama,1,1
nz,action,7,1
nz,drama,6,2
nz,documentation,3,3
pe,drama,5,1
pe,documentation,4,2
pe,thriller,3,3
ph,drama,54,1
ph,romance,47,2
ph,comedy,42,3
pk,drama,3,1
pk,comedy,1,2
pk,crime,1,3
pl,drama,30,1
pl,thriller,17,2
pl,comedy,15,3
pr,drama,2,1
pr,music,1,2
pr,scifi,1,3
ps,drama,13,1
ps,documentation,5,2
ps,european,4,3
pt,drama,4,1
pt,european,2,2
pt,romance,2,3
py,crime,1,1
py,drama,1,2
py,action,1,3
qa,drama,10,1
qa,crime,3,2
qa,european,2,3
ro,comedy,4,1
ro,european,4,2
ro,drama,3,3
romance,99,1,1
rs,drama,1,1
rs,documentation,1,2
ru,animation,7,1
ru,drama,7,2
ru,family,7,3
sa,drama,8,1
sa,comedy,8,2
sa,animation,3,3
se,drama,25,1
se,european,13,2
se,crime,9,3
sg,drama,18,1
sg,thriller,7,2
sg,action,5,3
sk,european,1,1
sk,history,1,2
sk,drama,1,3
sn,comedy,1,1
sn,action,1,2
sn,drama,1,3
su,action,2,1
su,drama,2,2
su,family,1,3
sy,war,2,1
sy,drama,2,2
sy,documentation,1,3
th,drama,27,1
th,thriller,12,2
th,romance,12,3
tn,drama,1,1
tr,drama,50,1
tr,comedy,45,2
tr,romance,20,3
tw,drama,48,1
tw,comedy,17,2
tw,romance,15,3
tz,drama,3,1
ua,documentation,2,1
ua,action,2,2
ua,thriller,1,3
us,comedy,933,1
us,drama,890,2
us,documentation,542,3
uy,drama,4,1
uy,comedy,3,2
uy,documentation,3,3
va,european,1,1
va,documentation,1,2
ve,crime,1,1
ve,drama,1,2
vn,drama,2,1
vn,romance,2,2
vn,music,1,3
xx,comedy,16,1
xx,drama,5,2
xx,animation,4,3
za,drama,23,1
za,comedy,17,2
za,thriller,12,3
zw,romance,1,1
zw,comedy,1,2
