id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,description,imdb_category,soup
ts265844,#ABtalks,show,2018,TV-PG,68.0,[],[],1.0,tt12635254,9.6,7.0,,,"#abtalksisayoutubeinterviewshowhostedbyanasbukhash,showcasingthe'raw'sideofcelebrities,athletes,entrepreneurs,andinfluencersashumanbeings.",excellent,"#abtalksisayoutubeinterviewshowhostedbyanasbukhash,showcasingthe'raw'sideofcelebrities,athletes,entrepreneurs,andinfluencersashumanbeings. [] [] [] [] excellent"
tm820190,#Alive,movie,2020,,98.0,"['thriller','horror','action','drama']",['kr'],,tt10620868,6.3,37199.0,61.465,7.3,"asagrislyvirusrampagesacity,alonemanstayslockedinsidehisapartment,digitallycutofffromseekinghelpanddesperatetofindawayout.",good,"asagrislyvirusrampagesacity,alonemanstayslockedinsidehisapartment,digitallycutofffromseekinghelpanddesperatetofindawayout. ['thriller','horror','action','drama'] ['kr'] ['kr'] ['kr'] good"
tm817087,#AnneFrank. Parallel Stories,movie,2019,,92.0,"['drama','documentation','history']",['it'],,tt9850370,6.5,1503.0,17.846,6.9,"onesingleannefrankmovesusmorethanthecountlessotherswhosufferedjustasshedidbutwhosefaceshaveremainedintheshadows-primolevi.theoscar®-winninghelenmirrenwillintroduceaudiencestoannefrank'sstorythroughthewordsinherdiary.thesetwillbeherroominthesecretrefugeinamsterdam,reconstructedineverydetailbysetdesignersfromthepiccolotheatreinmilan.annefrankthisyearwouldhavebeen90yearsold.anne'sstoryisintertwinedwiththatoffiveholocaustsurvivors,teenagegirlsjustlikeher,withthesameideals,thesamedesiretolive:ariannaszörenyi,sarahlichtsztejn-montard,helgaweissandsistersandraandtatianabucci.theirtestimoniesalternatewiththoseoftheirchildrenandgrandchildren.",good,"onesingleannefrankmovesusmorethanthecountlessotherswhosufferedjustasshedidbutwhosefaceshaveremainedintheshadows-primolevi.theoscar®-winninghelenmirrenwillintroduceaudiencestoannefrank'sstorythroughthewordsinherdiary.thesetwillbeherroominthesecretrefugeinamsterdam,reconstructedineverydetailbysetdesignersfromthepiccolotheatreinmilan.annefrankthisyearwouldhavebeen90yearsold.anne'sstoryisintertwinedwiththatoffiveholocaustsurvivors,teenagegirlsjustlikeher,withthesameideals,thesamedesiretolive:ariannaszörenyi,sarahlichtsztejn-montard,helgaweissandsistersandraandtatianabucci.theirtestimoniesalternatewiththoseoftheirchildrenandgrandchildren. ['drama','documentation','history'] ['it'] ['it'] ['it'] good"
tm257629,#FollowFriday,movie,2016,,90.0,['thriller'],['us'],,tt5233106,2.7,382.0,3.26,3.6,studentsandfacultyonacollegecampusaretargetedbyakillerusingsocialmedia.,low,studentsandfacultyonacollegecampusaretargetedbyakillerusingsocialmedia. ['thriller'] ['us'] ['us'] ['us'] low
tm371188,#FriendButMarried,movie,2018,,102.0,"['romance','comedy','drama']",['id'],,tt8076266,6.9,695.0,1.96,6.8,"piningforhishighschoolcrushforyears,ayoungmanputsuphisbesteffortstomoveoutofthefriendzoneuntilsherevealsshe'sgettingmarried.",good,"piningforhishighschoolcrushforyears,ayoungmanputsuphisbesteffortstomoveoutofthefriendzoneuntilsherevealsshe'sgettingmarried. ['romance','comedy','drama'] ['id'] ['id'] ['id'] good"
tm846354,#FriendButMarried 2,movie,2020,,104.0,"['drama','comedy','romance']",['id'],,tt11640412,6.9,300.0,1.298,7.5,"asayuanddittofinallytransitionfrombestfriendstonewlyweds,aquickpregnancycreatesuncertaintyforthefutureoftheiryoungmarriage.",good,"asayuanddittofinallytransitionfrombestfriendstonewlyweds,aquickpregnancycreatesuncertaintyforthefutureoftheiryoungmarriage. ['drama','comedy','romance'] ['id'] ['id'] ['id'] good"
tm286268,#Rucker50,movie,2016,,56.0,['documentation'],['us'],,tt6475636,5.2,117.0,2.578,3.7,"thecelebratoryexplosionofbasketballhistorymakers,legendshakersandlawbreakers;juxtaposedagainstimportanteventsincivil&humanrights.the50yearsoftherucker'sripplesreverberatethroughoutbasketball,hip-hop,harlem,andlife.",average,"thecelebratoryexplosionofbasketballhistorymakers,legendshakersandlawbreakers;juxtaposedagainstimportanteventsincivil&humanrights.the50yearsoftherucker'sripplesreverberatethroughoutbasketball,hip-hop,harlem,andlife. ['documentation'] ['us'] ['us'] ['us'] average"
ts236033,#blackAF,show,2020,TV-MA,35.0,['comedy'],['us'],1.0,,6.527333603896104,,4.274,7.1,afathertakesanirreverentandhonestapproachtoparentingandrelationships.,good,afathertakesanirreverentandhonestapproachtoparentingandrelationships. ['comedy'] ['us'] ['us'] ['us'] good
tm320206,#realityhigh,movie,2017,,99.0,"['comedy','drama','romance']",['us'],,tt6119504,5.2,6283.0,17.721,6.4,"whennerdyhighschoolerdanifinallyattractstheinterestofherlongtimecrush,shelandsinthecrosshairsofhisex,asocialmediacelebrity.",average,"whennerdyhighschoolerdanifinallyattractstheinterestofherlongtimecrush,shelandsinthecrosshairsofhisex,asocialmediacelebrity. ['comedy','drama','romance'] ['us'] ['us'] ['us'] average"
tm252609,'76,movie,2016,PG-13,118.0,"['romance','drama']",['ng'],,tt2385126,5.6,220.0,1.73,7.2,"nollywoodsuperstarsramseynouah,ritadominic,andchidimokemeheadlinethisgrippingdramasetagainstthebackdropoftheattempted1976militarycoupagainstthegovernmentofgeneralmurtalamohammed.",average,"nollywoodsuperstarsramseynouah,ritadominic,andchidimokemeheadlinethisgrippingdramasetagainstthebackdropoftheattempted1976militarycoupagainstthegovernmentofgeneralmurtalamohammed. ['romance','drama'] ['ng'] ['ng'] ['ng'] average"
