country_1,country_2,collaboration_count
us,gb,62
gb,us,45
us,ca,39
ca,us,32
gb,us,22
de,us,16
us,fr,16
fr,be,14
ca,us,12
fr,us,11
de,gb,11
de,fr,10
us,de,10
de,us,10
cn,us,9
us,mx,9
es,ar,9
us,au,8
us,jp,8
fr,us,8
ca,gb,7
hk,cn,7
cn,us,7
fr,gb,7
us,cn,7
gb,ca,7
de,gb,7
us,in,7
ca,gb,7
fr,it,6
jp,us,6
gb,fr,6
us,es,6
ca,fr,6
fr,ps,5
au,us,5
it,us,5
be,fr,5
us,bg,5
es,fr,5
fr,es,5
cn,hk,5
es,us,5
fr,lb,5
be,fr,5
fr,qa,4
us,nl,4
fr,eg,4
lb,ae,4
cn,gb,4
es,us,4
de,ps,4
au,gb,4
cn,ca,4
fr,gb,4
lb,fr,4
de,fr,4
ca,fr,4
mx,us,4
nl,gb,4
es,fr,4
fr,de,4
gb,be,4
jp,us,4
it,fr,3
be,nl,3
us,dk,3
mx,us,3
it,gb,3
au,us,3
sg,us,3
us,il,3
be,es,3
in,fr,3
gb,au,3
dk,gb,3
qa,fr,3
nl,us,3
dk,gb,3
za,us,3
us,ua,3
hk,us,3
us,ng,3
gb,ie,3
gb,in,3
us,kr,3
us,hk,3
cz,gb,3
gb,nl,3
es,de,3
de,dk,3
dk,se,3
ca,cn,3
ch,fr,3
fr,ca,3
jp,fr,3
ca,lb,3
fr,nl,3
gb,gr,2
se,no,2
th,us,2
us,tw,2
lb,qa,2
lu,be,2
hu,us,2
br,fr,2
za,ca,2
co,mx,2
gb,ie,2
gb,es,2
es,gb,2
lb,us,2
in,gb,2
ca,jp,2
us,be,2
cn,fr,2
tw,cn,2
fr,it,2
fr,jp,2
ae,ps,2
es,mx,2
mx,es,2
us,it,2
su,in,2
gb,za,2
ps,us,2
ae,us,2
ar,cl,2
br,us,2
es,cn,2
es,mx,2
it,be,2
gb,de,2
be,us,2
cz,us,2
us,no,2
ch,de,2
de,it,2
lu,fr,2
de,za,2
gb,cn,2
fr,ar,2
de,es,2
dk,us,2
gb,bg,2
il,us,2
dk,nl,2
de,ch,2
gb,is,2
id,sg,2
ar,uy,2
at,gb,2
gb,se,2
in,de,2
at,us,2
es,uy,2
br,us,2
ch,it,2
br,dk,2
hu,ca,2
ca,de,2
br,de,2
is,us,2
se,us,2
ch,ps,2
gb,ua,2
ps,fr,2
nl,se,2
us,sg,2
be,us,2
lb,ps,2
de,ca,2
de,be,2
ar,es,2
se,gb,2
my,sg,2
ca,ie,2
it,es,2
us,th,2
ie,us,2
dk,us,2
gb,za,2
fr,lu,2
at,de,2
ca,hu,2
gb,il,2
fr,cl,2
ps,nl,2
no,de,2
de,at,2
dk,fr,2
us,za,2
gb,jp,2
ie,ca,2
de,eg,1
be,se,1
sg,ua,1
ca,in,1
us,cl,1
ch,us,1
us,nz,1
ca,es,1
sa,ae,1
ir,qa,1
be,is,1
pe,gb,1
id,my,1
is,no,1
de,pl,1
es,hu,1
fi,no,1
al,it,1
ca,se,1
is,gb,1
us,ar,1
co,ar,1
dk,lb,1
no,za,1
pe,de,1
bg,us,1
jp,ca,1
al,us,1
ng,no,1
lb,nl,1
fr,jo,1
ca,cn,1
cn,sg,1
